id,name,violation_id
83,ANTI-GAMBLING LAW  - PD 1602,15
84,FURTHER AMENDING ARTICLES 38 AND 39 OF THE LABOR CODE BY MAKING ILLEGAL RECRUITMENT A CRIME OF ECONOMIC SABOTAGE AND PUNISHABLE WITH LIFE IMPRISONMENT.  - PD 2018,15
85,"ILLEGAL POSSESSION, MANUFACTURE, ACQUISITION, OF FIREARMS, AMMUNITION OR EXPLOSIVES - PD 1866 as amended by RA 8294 and RA 9516",15
86,"PENALIZING THE USE OR POSSESSION OR THE UNAUTHORIZED SALE TO MINORS OF VOLATILE SUBSTANCES FOR THE PURPOSE OF INDUCING INTOXICATION OR IN ANY MANNER CHANGING, DISTORTING OR DISTURBING THE AUDITORY, VISUAL OR MENTAL PROCESS - PD 1619",15
87,THE FORESTRY REFORM CODE OF THE PHILIPPINES (ILLEGAL LOGGING) - PD 705,15
88,GRAVE COERCIONS  - RPC Art. 286 amended by 3815 and RA 7890,16
89,GRAVE THREATS  - RPC Art. 282,16
90,LAND TRANSPORTATION AND TRAFFIC CODE (COMPULSARY REGISTRATION OF MOTOR VEHICLES) - RPC Art. 4136  as amended by BP Blg 74,16
91,LIGHT THREATS  - RPC Art. 283,16
92,OTHER FORMS OF TRESPASS  - RPC Art. 281,16
93,OTHER LIGHT THREATS  - RPC Art. 285,16
94,ANTI-FENCING LAW 0F 1979  - RA 1612,17
95,ANTI-PHOTO AND VIDEO VOYEURISM ACT OF 2009  - RA 9995,17
96,ANTI-RAPE LAW OF 1997 - RA 8353,17
97,ANTI-TRAFFICKING IN PERSONS ACT OF 2003 - RA 9208 as amended by RA 10364 (Expanded ATIP),17
98,ANTI-VIOLENCE AGAINST WOMEN AND THEIR CHILDREN ACT OF 2004  - RA 9262,17
99,COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002  - RA 9165,17
100,"COMPREHENSIVE LAW ON FIREARMS AND AMMUNITION  - RA 10591 (covers RA 9516, RA 8294 and PD 1866)",17
101,CYBERCRIME PREVENTION ACT OF 2012  - RA 10175,17
102,DATA PRIVACY ACT OF 2012 - RA 10173,17
103,MANDATORY REPORTING OF NOTIFIABLE DISEASES AND HEALTH EVENTS OF PUBLIC HEALTH CONCERN ACT - RA 11332,17
104,NEW ANTI-CARNAPPING ACT OF 2016 - MC - RA 10883 (repealed RA 6539),17
105,NEW ANTI-CARNAPPING ACT OF 2016 - MV - RA 10883 (repealed RA 6539),17
106,SEXUAL HARRASSMENT ACT OF 1995  - RA 7877,17
107,"SPECIAL PROTECTION OF CHILDREN AGAINST CHILD ABUSE, EXPLOITATION AND DISCRIMINATION ACT. (ANTI- CHILD ABUSE LAW)  - RA 7610",17
